"Dduxbl.zip","DYNAMITE DUX (BOOTLEG)","DYNAMITE DUX (BOOTLEG)","fbneo",
"Deadconx.zip","DEAD CONNECTION (WORLD)","DEAD CONNECTION (WORLD)","fbneo",
"Deadeye.zip","DEADEYE","DEADEYE","fbneo",
"Defender.zip","DEFENDER (RED LABEL)","DEFENDER (RED LABEL)","fbneo",
"demonwld.zip","DEMON'S WORLD / HORROR STORY (SET 1)","DEMON'S WORLD / HORROR STORY (SET 1)","fbneo",
"Depthch.zip","DEPTHCH","DEPTHCH","fbneo",
"Destderb.zip","DESTDERB","DESTDERB","fbneo",
"Desterth.zip","DESTERTH","DESTERTH","fbneo",
"Devilw.zip","DEVIL WORLD","DEVIL WORLD","fbneo",
"Diamond.zip","DIAMOND RUN","DIAMOND RUN","fbneo",
"Digdug2.zip","DIG DUG II (NEW VER.)","DIG DUG II (NEW VER.)","fbneo",
"Digdugat.zip","DIG DUG (ATARI, REV 2)","DIG DUG (ATARI, REV 2)","fbneo",
"Digdugnm.zip","DIGDUGNM","DIGDUGNM","fbneo",
"Digger Man.zip","DIGGER MAN","DIGGER MAN","fbneo",
"Dimahoo.zip","DIMAHOO (000121 EURO)","DIMAHOO (000121 EURO)","fbneo",
"Dinoj.zip","CADILLACS KYOURYUU-SHINSEIKI (930201 JAPAN)","CADILLACS KYOURYUU-SHINSEIKI (930201 JAPAN)","fbneo",
"Dinorex.zip","DINO REX (WORLD)","DINO REX (WORLD)","fbneo",
"Dkjrbl.zip","DKJRBL","DKJRBL","fbneo",
"Dkjrjp.zip","DKJRJP","DKJRJP","fbneo",
"Dkngjrjp.zip","DKNGJRJP","DKNGJRJP","fbneo",
"Dkong.zip","DONKEY KONG (US SET 1)","DONKEY KONG (US SET 1)","fbneo",
"Dkong3.zip","DONKEY KONG 3 (US)","DONKEY KONG 3 (US)","fbneo",
"Dkongjp.zip","DKONGJP","DKONGJP","fbneo",
"Dkongjr.zip","DONKEY KONG JUNIOR (US SET F-2)","DONKEY KONG JUNIOR (US SET F-2)","fbneo",
"Doapp.zip","DOAPP","DOAPP","fbneo",
"Docastl2.zip","DOCASTL2","DOCASTL2","fbneo",
"Docastle.zip","MR. DO'S CASTLE (SET 1)","MR. DO'S CASTLE (SET 1)","fbneo",
"Dogpatch.zip","DOGPATCH","DOGPATCH","fbneo",
"Domino.zip","DOMINO MAN","DOMINO MAN","fbneo",
"Dominos.zip","DOMINOS","DOMINOS","fbneo",
"Dondokod.zip","DON DOKO DON (WORLD)","DON DOKO DON (WORLD)","fbneo",
"Dorunrun.zip","DO! RUN RUN (SET 1)","DO! RUN RUN (SET 1)","fbneo",
"Dotron.zip","DISCS OF TRON (UPRIGHT, 10/4/83)","DISCS OF TRON (UPRIGHT, 10/4/83)","fbneo",
"Double Dragon.zip","DOUBLE DRAGON","DOUBLE DRAGON","fbneo",
"Doubledr.zip","DOUBLE DRAGON (NEO-GEO)","DOUBLE DRAGON (NEO-GEO)","fbneo",
"Douni.zip","MR. DO VS. UNICORNS","MR. DO VS. UNICORNS","fbneo",
"Dowild.zip","MR. DO'S WILD RIDE","MR. DO'S WILD RIDE","fbneo",
"Drgnbstr.zip","DRAGON BUSTER","DRAGON BUSTER","fbneo",
"Drgninja.zip","DRAGONNINJA (JAPAN)","DRAGONNINJA (JAPAN)","fbneo",
"Drmario.zip","DRMARIO","DRMARIO","fbneo",
"Dsoccr94.zip","DREAM SOCCER '94 (WORLD, M107 HARDWARE)","DREAM SOCCER '94 (WORLD, M107 HARDWARE)","fbneo",
"Dstlk.zip","DARKSTALKERS - THE NIGHT WARRIORS (940705 EURO)","DARKSTALKERS - THE NIGHT WARRIORS (940705 EURO)","fbneo",
"Dstorm.zip","DSTORM","DSTORM","fbneo",
"Duckhunt.zip","DUCKHUNT","DUCKHUNT","fbneo",
"Dungeonm.zip","DUNGEON MAGIC (VER 2.1O 1994/02/18)","DUNGEON MAGIC (VER 2.1O 1994/02/18)","fbneo",
"Dungeons & Dragons Shadow Over Mystara.zip","DUNGEONS & DRAGONS SHADOW OVER MYSTARA","DUNGEONS & DRAGONS SHADOW OVER MYSTARA","fbneo",
"Dungeons & Dragons Tower Of Doom.zip","DUNGEONS & DRAGONS TOWER OF DOOM","DUNGEONS & DRAGONS TOWER OF DOOM","fbneo",
"Dynasty Wars.zip","DYNASTY WARS","DYNASTY WARS","fbneo",
"Dynduke.zip","DYNAMITE DUKE (EUROPE, 03SEP89)","DYNAMITE DUKE (EUROPE, 03SEP89)","fbneo",
"Eagle.zip","EAGLE (SET 1)","EAGLE (SET 1)","fbneo",
"Earthinv.zip","EARTHINV","EARTHINV","fbneo",
"Ebases.zip","EBASES","EBASES","fbneo",
"Eco Fighters.zip","ECO FIGHTERS","ECO FIGHTERS","fbneo",
"Edf.zip","E.D.F.  EARTH DEFENSE FORCE (SET 1)","E.D.F.  EARTH DEFENSE FORCE (SET 1)","fbneo",
"Edrandy.zip","THE CLIFFHANGER - EDWARD RANDY (WORLD VER 3)","THE CLIFFHANGER - EDWARD RANDY (WORLD VER 3)","fbneo",
"Eggs.zip","EGGS","EGGS","fbneo",
"Eightman.zip","EIGHT MAN (NGM-025)(NGH-025)","EIGHT MAN (NGM-025)(NGH-025)","fbneo",
"Elevatob.zip","ELEVATOB","ELEVATOB","fbneo",
"Elevator.zip","ELEVATOR ACTION (BA3, 4 PCB VERSION, 1.1)","ELEVATOR ACTION (BA3, 4 PCB VERSION, 1.1)","fbneo",
"Elim2.zip","ELIM2","ELIM2","fbneo",
"Elim4.zip","ELIMINATOR (4 PLAYERS)","ELIMINATOR (4 PLAYERS)","fbneo",
