path;name;Adult;Date;arcadesystemname;hidden;core;description;developer;emulator;famille;favorite;gameidSS;gametime;genre;genreid;hash;kid;lang;lastplayed;md5;mode;playcount;players;publisher;rating;ratio;region;rotation;sortname;tags;temporary;bezel;boxback;boxart;cartridge;extra1;fanart;image;magazine;manual;maps;marquee;mix;roundwheel;screenshot;titleshot;thumbnail;video;wheel;roundwheel
./Ckonga.Mame.ZIP;CKONGA.MAME;false;;;false;;;;;;false;;0;;0;1CD4841F;false;;;9130f3022561c41b4776fc5e96ec32d5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Ckongs.Mame.ZIP;CKONGS.MAME;false;;;false;;;;;;false;;0;;0;EC932664;false;;;9583929be5562907ba093d533433fcde;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Clbowl.Mame.zip;CLBOWL.MAME;false;;;false;;;;;;false;;0;;0;38855;false;;;ba5f3e7c1668a4624eff783c3f52250e;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Cloak.Mame.ZIP;CLOAK.MAME;false;;;false;;;;;;false;;0;;0;72CD710B;false;;;3488819a1d76eb90cedfd8756b13708b;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Clowns.Mame.ZIP;CLOWNS.MAME;false;;;false;;;;;;false;;0;;0;EF3F89F3;false;;;6f580c1753d4f0a7a06bb543429751f9;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Congo.Mame.ZIP;CONGO.MAME;false;;;false;;;;;;false;;0;;0;98A2062B;false;;;a829fde5d0e19bc4c71118889bbf903d;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Cotton2.Suposto-Mame.zip;COTTON2.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;F760A446;false;;;7cc6104e56d141576bf15a08dfb1ba7f;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Crash.Mame.zip;CRASH.MAME;false;;;false;;;;;;false;;0;;0;75D46FFD;false;;;ca78604518ba809f72afe37beb9d45e7;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Crater.Mame.zip;CRATER.MAME;false;;;false;;;;;;false;;0;;0;AC72C83C;false;;;6e6ea4176d5424acfd46e36450210cf0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Crush.Mame.ZIP;CRUSH.MAME;false;;;false;;;;;;false;;0;;0;864662CF;false;;;f6bee6ef29730b6c85ca7058213de7e4;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Crusnusa.Suposto-Mame.zip;CRUSNUSA.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;4CC5E070;false;;;78e4de917252efe69c049ae8315c7f0b;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Crusnwld.Suposto-Mame.zip;CRUSNWLD.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;5C990054;false;;;c09c1e8c34a7c3ce924fb2f067a16741;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Crysking.Suposto-Mame.zip;CRYSKING.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;994C90A9;false;;;c4be82779e400bd7c79d95920b9a9ba3;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Cvs.Suposto-Mame.zip;CVS.SUPOSTO-MAME;false;19810101T000000;;false;;;;;;false;149548;0;;0;7EF44E41;false;;;95581230ae264e27e02982af8ed79b3c;;0;;;;;wor;Right;;;;;;;;;;;;;;;;;;;;;;
./Cvs2gd.Suposto-Mame.zip;CVS2GD.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;0E6E3636;false;;;b930e8fab578751f3558e780c5af1d2f;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Dbz2.Suposto-Mame.zip;DBZ2.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;51FBD751;false;;;a721e8192947d82d330488d21a0a016f;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Dbzvrvs.Suposto-Mame.zip;DBZVRVS.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;E215BBF8;false;;;fef5dbd911a3b30a30240e071984ca2c;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Dday.Mame.zip;DDAY.MAME;false;;;false;;;;;;false;;0;;0;F6C7DE1E;false;;;e6e096883ad452831b96181b4fe3b635;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Ddrago3b.Suposto-Mame.zip;DDRAGO3B.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;219759B4;false;;;09ac60909879ba1950906fc944492e37;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Ddragon.Suposto-Mame.zip;DDRAGON.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;D045F18D;false;;;486d994f38df2dd8a0c3695f6edf4c8e;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Dinoj.Suposto-Mame.zip;DINOJ.SUPOSTO-MAME;false;;;false;;;;;;false;;0;;0;C14E0AB2;false;;;cb42d263785123e9c1a3f6d4353916e5;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Dkjrbl.Mame.ZIP;DKJRBL.MAME;false;;;false;;;;;;false;;0;;0;A69EFC1C;false;;;ee47b53aca9f8a5ac75ea939076ce1e9;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
./Dkjrjp.Mame.ZIP;DKJRJP.MAME;false;;;false;;;;;;false;;0;;0;A3BD979E;false;;;02219326046e0c44d1d75ff9273e4ee6;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
